"V4.Begin","V4.End","V4.Peak_date","V4.DailyMQ","V4.Volume","V4.dir_Volume","V4.baseflow_peak","V4.baseflow_begin","V4.baseflow_end","V4.No_Peaks","V4.HQ","V4.HQ_dir","V4.Comments","V4.Duration"
1987-07-13,1987-07-19,1987-07-15,2393.694898,931.24962762624,499.55588669952,830.472790466667,825.9332598,839.5518518,1,NA,NA,"aufgesetzt",7
1987-09-17,1987-09-25,1987-09-20,3054.125757,1326.41874559008,835.37524971936,687.5451817375,618.9155539,801.9278948,1,NA,NA," ",9
1987-10-03,1987-10-12,1987-10-05,2613.488823,1143.7932174336,755.57358646416,427.770176622222,370.5834054,627.9238759,1,NA,NA," ",10
1987-10-27,1987-11-06,1987-10-29,3350.261342,1274.20869425184,962.55482730624,323.67184744,298.9794163,422.441572,1,NA,NA," ",11
1987-11-09,1987-11-23,1987-11-12,2511.367388,1352.32483925952,867.5923441248,348.1432344,308.6972778,492.7784086,1,NA,NA," ",15
1987-11-09,1987-11-19,1987-11-12,2511.367388,1055.68449196896,709.44699544416,363.92161704,308.6972778,492.7784086,1,NA,NA,"first wave",11
1988-05-17,1988-05-30,1988-05-21,2647.024099,1622.81398467744,1189.92956589504,366.054873538462,335.0982,435.707389,1,NA,NA," ",14
1988-11-20,1988-11-25,1988-11-21,2690.773779,903.4455821328,496.9627973208,903.625906,878.7549285,1003.109816,1,NA,NA," ",6
1989-03-30,1989-04-05,1989-04-02,2055.028704,827.75959049376,373.09567897728,877.05229845,616.0105729,1138.094024,1,NA,NA," ",7
1989-05-01,1989-05-23,1989-05-18,4962.560215,4581.95285147616,3337.3904694048,757.92560975,465.6149609,843.89933,2,NA,NA," ",23
1989-05-01,1989-05-16,1989-05-07,4131.958956,2856.48725827296,2007.92199776976,616.92870854,465.6149609,843.89933,2,NA,NA,"first wave",16
1989-05-15,1989-05-23,1989-05-18,4962.560215,1725.4655932032,1433.8139847552,316.46224875,0,843.89933,1,NA,NA,"second wave",9
1989-05-23,1989-05-27,1989-05-25,2396.781817,694.6407744192,343.273224672,1016.688512,843.89933,1189.477694,1,NA,NA," ",5
1989-06-05,1989-06-21,1989-06-17,2819.86697,2587.22753988384,1462.00647467808,933.4469997,574.9919928,1052.932002,1,NA,NA," ",17
1989-08-10,1989-08-27,1989-08-13,2838.576476,1649.29129997184,1284.9667094376,208.432828347059,186.8276396,309.2570425,1,NA,NA," ",18
1989-10-01,1989-10-09,1989-10-03,2255.818894,858.04846992864,559.92378885984,398.131981325,364.9493199,497.6799656,1,NA,NA," ",9
1989-10-17,1989-10-31,1989-10-21,3267.816006,1722.16769139648,1368.14975775648,265.765323571429,229.88768,355.4594325,1,NA,NA," ",15
1990-01-29,1990-02-02,1990-01-31,2413.326471,726.9726956256,320.0009156064,1177.580382,1054.74532,1300.415444,1,NA,NA," ",5
1990-07-12,1990-07-22,1990-07-14,3595.678373,1087.64332412544,841.59919417824,242.59198398,214.4711076,355.0754895,1,NA,NA," ",11
1990-08-06,1990-09-04,1990-08-25,7289.481177,4865.08915744128,4118.61149651088,320.095029462069,226.4828139,369.3646166,4,NA,NA," ",30
1990-08-06,1990-08-23,1990-08-12,3319.561235,2175.83286729696,1738.24251433776,276.911685441176,226.4828139,369.3646166,3,NA,NA,"first wave",18
1990-08-19,1990-09-04,1990-08-25,7289.481177,2689.25629014432,2433.9514671504,138.511731225,0,369.3646166,1,NA,NA,"second wave",17
1990-11-09,1990-11-20,1990-11-12,2538.48797,1072.29778520256,797.30958000096,255.0033035,213.7999379,364.8789451,1,NA,NA," ",12
1990-12-23,1990-12-27,1990-12-25,2035.199788,590.01560543808,255.85747615296,966.8927352,645.5698514,1288.215619,1,NA,NA," ",5
1991-03-02,1991-03-12,1991-03-05,2524.458994,1153.95979144608,755.36353670688,433.57218028,391.923064,530.7534516,1,NA,NA," ",11
1991-08-18,1991-08-29,1991-08-21,2272.077137,746.62208525664,613.27967679936,126.199715427273,109.2777471,171.3249643,1,NA,NA," ",12
1991-11-22,1991-11-30,1991-11-24,2325.001176,890.27052867072,589.63085281152,391.239180625,347.5251265,522.381343,1,NA,NA," ",9
1991-12-02,1991-12-09,1991-12-04,3204.297825,1018.33759719072,624.35848840704,614.800033957143,565.9727671,736.8682011,1,NA,NA," ",8
1992-03-10,1992-03-16,1992-03-12,2821.731551,984.15726163488,548.02963977984,798.135398333333,711.8150613,970.7760724,1,NA,NA," ",7
1992-08-15,1992-08-24,1992-08-19,3416.164595,1461.11562461664,1047.10794356736,521.409672655556,433.3487715,631.4857991,1,NA,NA," ",10
1992-09-02,1992-09-19,1992-09-12,2300.829369,1385.8722285552,1008.22307350608,266.236845105882,205.4183854,308.8097669,2,NA,NA," ",18
1992-09-22,1992-10-06,1992-09-27,3982.285129,1820.10843173088,1466.01626499936,276.940355142857,237.4539275,348.0159249,2,NA,NA," ",15
1992-12-10,1992-12-25,1992-12-13,2372.612774,1602.02843898624,1150.05554508384,302.1856305,271.1463729,426.3426609,1,NA,NA," ",16
1993-03-13,1993-03-17,1993-03-15,2187.183193,654.16643210016,351.77573670624,874.97307695,677.2773069,1072.668847,1,NA,NA," ",5
1993-03-28,1993-04-01,1993-03-30,2380.86117,823.968094032,278.3498979168,1578.7563545,1191.85525,1965.657459,1,NA,NA," ",5
1993-12-04,1993-12-15,1993-12-06,4451.459255,1654.84857792672,1163.11625758944,457.521800181818,423.3084756,611.4817608,1,NA,NA," ",12
1994-02-21,1994-03-01,1994-02-24,2284.890097,922.11929233344,580.52893551552,468.4020004,391.0109668,597.3870564,1,NA,NA," ",9
1994-03-08,1994-03-19,1994-03-11,3422.082867,1529.67922097184,909.10292436432,598.539353027273,533.2306466,772.6959035,1,NA,NA," ",12
1994-03-27,1994-03-31,1994-03-30,2873.841583,970.9655274432,309.061507392,2023.56758875,1698.559441,2131.903638,1,NA,NA," ",5
1994-06-27,1994-07-05,1994-07-01,2653.031893,1006.74010250208,584.29841374944,611.1714247,496.1592275,726.1836219,1,NA,NA," ",9
1994-08-11,1994-09-02,1994-08-23,4529.181146,2511.617805576,2043.09510907392,250.570695190909,201.5676591,291.4065586,3,NA,NA," ",23
1994-08-17,1994-09-02,1994-08-23,4529.181146,1821.25463452992,1619.8344212256,109.277459475,0,291.4065586,1,NA,NA,"second wave",17
1994-11-27,1994-12-18,1994-11-29,2825.869794,2354.76545888448,1638.94030442496,309.188216561905,289.1091038,499.9397878,2,NA,NA," ",22
1994-11-27,1994-12-06,1994-11-29,2825.869794,968.43674130336,661.65453224928,335.960366911111,289.1091038,499.9397878,1,NA,NA,"first wave",10
1994-12-04,1994-12-18,1994-12-11,2267.557341,1386.32871758112,1083.96513391968,249.9698939,0,499.9397878,1,NA,NA,"second wave",15
1995-10-14,1995-11-01,1995-10-22,4357.15764,2367.11665940256,1731.28260248352,397.372911011111,305.6048775,512.0829529,2,NA,NA," ",19
1995-10-14,1995-10-22,1995-10-16,2185.163152,816.10382484576,533.51091065952,357.22439635,305.6048775,512.0829529,1,NA,NA,"first wave",9
1995-10-20,1995-11-01,1995-10-22,3845.0746871,1551.0128345568,1285.54903177344,85.3471588166667,0,512.0829529,1,NA,NA,"second wave",13
1995-11-11,1995-11-22,1995-11-16,3262.673535,1910.13916401504,1356.37226283744,575.019503818182,498.542602,666.791786,1,NA,NA," ",12
1996-01-18,1996-02-05,1996-01-20,3600.045539,2929.92833038464,2227.6569891024,369.452067955556,345.9916981,557.1350268,2,NA,NA," ",19
1996-01-18,1996-01-28,1996-01-20,3600.045539,1472.40045609984,1082.24971094304,388.22036384,345.9916981,557.1350268,1,NA,NA,"first wave",11
1996-01-24,1996-02-05,1996-01-29,3227.406969,1457.5278742848,1168.70907639168,232.1395945,0,557.1350268,1,NA,NA,"second wave",13
1996-04-14,1996-04-21,1996-04-17,2682.701999,1040.37490569312,580.50992764512,744.420445428571,648.790558,871.926962,1,NA,NA," ",8
1996-04-29,1996-05-20,1996-05-05,2030.309204,2258.2401078672,1592.6124015432,348.337605214286,323.6433405,410.073267,1,NA,NA," ",22
1996-06-17,1996-06-24,1996-06-21,2669.063969,1089.77302464768,604.115955,830.0494002,613.6895114,992.3193168,1,NA,NA," ",8
1996-07-12,1996-07-22,1996-07-15,3749.030034,1858.13457112512,1328.74801093152,578.46597461,527.0910473,698.340805,1,NA,NA," ",11
1996-09-16,1996-09-28,1996-09-18,3301.388867,1464.76153106496,1127.68514062272,286.279216966667,266.8626958,383.3618228,1,NA,NA," ",13
