Time,1980-2020-WRF-DIST,SSP545-COOL-FAR,SSP545-HOT-FAR,SSP585-COOL-FAR,SSP585-HOT-FAR
17/03/1981,446.5854575,444.377195,380.0278299,600.8897434,314.8715189
18/03/1981,311.9694265,317.7679921,272.1695979,391.6880469,257.4446301
19/03/1981,273.2716623,283.3616034,244.9199081,325.3217084,237.5581729
20/03/1981,253.862816,264.2415494,231.1030176,295.7947951,227.1802983
21/03/1981,240.1375686,259.7412246,223.5661595,293.6183808,220.1421961
22/03/1981,228.0118175,248.9643993,213.8098363,284.1617809,212.127341
23/03/1981,221.3269129,234.6165956,203.9519189,260.4197208,205.1696016
24/03/1981,211.0736544,222.4682411,194.6569655,242.9278539,197.2487235
25/03/1981,201.3881526,208.8859569,184.8176885,226.6309654,187.5026649
26/03/1981,199.513882,215.8238521,196.0180128,232.8594111,199.3603644
27/03/1981,219.9153163,238.4791071,203.5296864,265.2744139,252.8131536
28/03/1981,283.9632875,283.2011875,257.3717666,329.4860168,297.3145235
29/03/1981,285.0425516,271.2897649,247.2954545,287.1139208,239.1085176
30/03/1981,236.8329241,224.5154585,206.5175869,238.7187554,202.5699858
31/03/1981,425.3552988,458.2907724,440.0040549,545.7080476,413.9759878
01/04/1981,440.6915531,486.3519285,395.0379913,531.9806228,379.0833341
02/04/1981,654.6783419,602.0174784,408.1121945,610.5839509,444.6755724
03/04/1981,737.275657,593.5534044,415.0334386,627.0043924,468.9115488
04/04/1981,573.4185038,455.7090761,340.0442994,476.2511131,353.4904589
05/04/1981,409.2930761,321.5408228,244.8284981,338.5495828,251.301689
06/04/1981,736.0697283,728.1433845,434.3194935,748.2313134,487.6831959
07/04/1981,622.4403368,532.9076891,346.2699514,529.6165754,332.5203374
08/04/1981,435.9745805,356.9726231,251.9822285,353.906495,238.3108951
09/04/1981,327.8784261,273.8634386,194.2030695,272.0691018,189.7863044
10/04/1981,348.8978793,327.6145558,191.8428716,247.2587828,217.9927766
11/04/1981,356.6989464,349.9396408,191.9146516,266.8751138,210.984735
12/04/1981,803.9141816,676.8838969,469.653618,600.5173688,489.4356854
13/04/1981,1015.138251,1006.184262,747.7659385,889.9434009,968.7946996
14/04/1981,827.8883974,697.9314748,501.2776203,591.2840711,536.0624305
15/04/1981,1447.414935,1400.198829,762.9600668,885.1560136,608.518085
16/04/1981,1270.035033,1363.794537,838.8678235,934.8843868,711.0765091
17/04/1981,850.6600216,909.8546924,610.0007441,628.5278949,483.783443
18/04/1981,668.9048915,765.7726785,534.2654573,588.2104149,401.5012173
19/04/1981,584.5946519,694.4638174,524.9420196,621.8877669,351.5337844
20/04/1981,469.3302583,512.7896943,356.4118398,478.6384166,276.7722469
21/04/1981,366.6934283,387.5225779,274.6597091,351.3712541,219.491346
22/04/1981,300.5077286,314.9058093,227.0530729,285.1839039,188.8011851
23/04/1981,269.5960953,277.6399334,204.975977,253.6268775,185.590593
24/04/1981,540.4646354,519.7665784,450.0243599,586.6621438,476.335414
25/04/1981,496.3880943,606.7062514,563.8539763,876.466517,497.6817548
26/04/1981,373.0832418,449.7298843,425.1020323,723.76953,370.7291366
27/04/1981,300.0414554,342.9750261,315.8128246,515.7699216,278.00193
28/04/1981,243.2044523,272.7285073,245.5352318,386.5348086,215.45076
29/04/1981,252.7080546,250.7393201,210.348854,316.7622575,184.5869861
30/04/1981,317.9660551,267.4012603,216.5109261,310.7952051,178.4098886
01/05/1981,330.4146499,323.9799206,251.4786618,330.9730483,194.2123594
02/05/1981,721.2205676,797.5238148,322.4215654,673.0105526,304.5396923
03/05/1981,618.7667754,795.2170234,348.5592208,527.3883874,282.4954313
04/05/1981,402.0710406,434.2893568,320.8140586,315.7555845,193.2247563
05/05/1981,281.705187,304.8444953,215.2453121,237.5063226,144.6075606
06/05/1981,229.7493376,250.8215223,170.5370724,205.1323709,127.6210149
