"V2.Begin","V2.End","V2.Peak_date","V2.DailyMQ","V2.Volume","V2.dir_Volume","V2.baseflow_peak","V2.baseflow_begin","V2.baseflow_end","V2.No_Peaks","V2.HQ","V2.HQ_dir","V2.Comments","V2.Duration"
1990-07-12,1990-07-20,1990-07-14,2596.750008,830.82565874016,582.0465379248,337.526400425,315.1293043,404.7176888,1,NA,NA," ",9
1990-08-06,1990-08-18,1990-08-12,2350.3238,1346.08927287744,968.30424831168,364.3759882,291.0208155,437.7311609,2,NA,NA," ",13
1990-10-18,1991-04-13,1991-03-05,2887.481278,11636.4043599206,9424.65491106048,166.300554144068,105.8768863,183.3768081,10,NA,NA," ",178
1990-12-15,1991-01-28,1990-12-25,2343.427233,3510.0549033552,2296.82793928608,310.728099463636,303.7216151,334.5501463,3,NA,NA,"overlaid",45
1991-03-02,1991-03-14,1991-03-05,2887.481278,1449.58456679328,968.50327377888,449.224529175,434.4431816,493.5685719,1,NA,NA,"overlaid",13
1991-11-10,1992-05-08,1991-12-04,2638.461771,9496.90209965443,7352.10020726755,109.813445479333,99.59591863,176.22737,7,NA,NA," ",181
1991-11-22,1991-12-01,1991-11-24,2149.518449,863.0425206864,527.77640442816,422.120256788889,414.8924743,447.4174955,1,NA,NA,"overlaid",10
1991-12-01,1991-12-21,1991-12-04,2638.461771,1672.63916806656,955.99770621696,437.60916731,447.4174955,382.0286409,1,NA,NA,"overlaid",21
1992-12-10,1992-12-25,1992-12-12,2065.58402,1366.81630723584,917.72598878064,280.211776113333,256.0995829,436.941032,1,NA,NA," ",16
1992-12-10,1992-12-21,1992-12-12,2065.58402,985.86117360864,656.52827340816,288.979846372727,256.0995829,436.941032,1,NA,NA,"first wave",12
1993-03-23,1993-05-04,1993-04-02,4035.585177,5632.18287756768,4299.3853098336,330.015075566667,296.1348894,438.4316713,4,NA,NA," ",43
1993-03-23,1993-04-09,1993-04-02,4035.585177,2781.384306768,2028.05039681568,551.141765282353,296.1348894,729.6465784,2,NA,NA,"overlaid",18
1993-11-27,1993-12-19,1993-12-06,3189.978175,2149.98409247616,1579.68595251648,281.8489755,200.0317233,400.0294509,2,NA,NA," ",23
1993-12-04,1993-12-19,1993-12-06,2664.1260046,1268.27304195168,1009.05395776848,53.33726012,0,400.0294509,1,NA,NA,"second wave",16
1994-03-21,1994-05-15,1994-04-15,4431.83896,7974.51249024288,6678.15059420928,268.015074281818,220.1315241,325.4753345,5,NA,NA," ",56
1994-03-21,1994-04-25,1994-04-15,4431.83896,6268.29859521216,4708.61950851216,642.467766457143,220.1315241,811.4022634,5,NA,NA,"overlaid",36
1994-11-27,1994-12-17,1994-11-29,2222.692564,1814.18943409344,1240.41154849344,252.19002102,232.2256794,431.8690956,2,NA,NA," ",21
1994-11-27,1994-12-06,1994-11-29,2222.692564,814.06384692192,555.86379840192,276.590883,232.2256794,431.8690956,1,NA,NA,"first wave",10
1995-10-04,1995-12-29,1995-10-22,3553.119809,5909.73801594336,4753.13544926496,128.279564372093,108.5669586,202.7494084,4,NA,NA," ",87
1996-01-18,1996-02-08,1996-01-20,3966.29996,2787.64917017184,2258.2715328216,214.155972071429,195.8951253,387.6340164,1,NA,NA," ",22
1996-01-18,1996-01-31,1996-01-20,3966.29996,1455.04317911904,1127.33321314032,225.393416238462,195.8951253,387.6340164,1,NA,NA,"first wave",14
1996-01-24,1996-02-08,1996-01-28,2553.3547044,1332.6059910528,1081.4191484256,103.36907104,0,387.6340164,1,NA,NA,"second wave",16
1996-04-13,1996-04-28,1996-04-17,3311.874331,2041.74391675392,1033.30459942272,661.09140316,527.3481414,1028.885373,1,NA,NA," ",16
1996-04-29,1996-05-04,1996-05-01,2262.941258,872.4756813264,332.4775465944,1196.9938251,984.9863965,1515.004968,1,NA,NA," ",6
1996-07-12,1996-07-23,1996-07-16,3235.236252,1612.03097096064,1150.93382583312,463.810698563636,406.8761946,563.4460805,1,NA,NA," ",12
1996-10-18,1996-10-30,1996-10-21,3840.219366,1769.37029248608,1411.51820260896,292.662218825,240.173888,450.1272113,1,NA,NA," ",13
1996-11-08,1996-11-19,1996-11-10,5759.346397,2217.51805927968,1774.31517912096,388.782593672727,344.4680776,588.197916,1,NA,NA," ",12
1996-12-01,1996-12-12,1996-12-03,3539.009394,2177.23074494976,1365.31712222208,687.425882327273,592.0771184,1116.49532,1,NA,NA," ",12
1996-12-13,1996-12-18,1996-12-15,3792.134876,1282.6638907776,660.2296412736,1398.5770696,1229.60526,1652.034784,1,NA,NA," ",6
1997-03-14,1997-03-19,1997-03-15,2050.907135,604.68395459616,341.35552922976,563.62142436,532.9980138,686.1150666,1,NA,NA," ",6
1997-03-30,1997-04-05,1997-04-01,2537.39127,938.96120661984,515.13300127872,781.5572274,709.5320011,925.60768,1,NA,NA," ",7
1998-03-08,1998-03-18,1998-03-10,3600.54028,1478.29391147808,1036.26118598688,447.23508202,404.3171695,618.9067321,1,NA,NA," ",11
1998-03-18,1998-03-26,1998-03-22,2175.483787,996.97487727744,510.57297675648,703.7064533,618.9067321,788.5061745,1,NA,NA," ",9
1998-04-09,1998-04-16,1998-04-11,2308.797424,853.17409845504,540.06011081712,481.431776,433.0542418,602.3756115,1,NA,NA," ",8
1998-04-19,1998-04-24,1998-04-21,2161.195257,682.76526447168,359.04806350848,719.17552194,598.4961193,900.1946259,1,NA,NA," ",6
1998-05-08,1998-05-15,1998-05-12,3738.373535,1728.2227991616,874.6190968032,1436.10611,1238.311494,1584.452072,1,NA,NA," ",8
1999-01-02,1999-05-01,1999-03-23,2691.09665,7663.93557951168,5912.66038276368,184.081429306723,130.4212125,210.240785,5,NA,NA," ",120
1999-03-14,1999-04-01,1999-03-23,2691.09665,1558.78715164896,986.87307109824,367.74310735,333.2451963,402.2410184,1,NA,NA,"overlaid",19
1999-08-13,2000-10-16,1999-09-17,8305.387707,22414.1605118865,19613.5928890727,57.4503218974419,53.96373463,96.79894963,14,NA,NA," ",431
1999-08-20,1999-09-29,1999-09-17,8305.387707,4415.99231089152,3251.19315324672,415.8929365,139.8964353,534.1771513,2,NA,NA,"overlaid",41
2000-03-08,2000-04-04,2000-03-23,2215.141287,2941.95107243808,1879.63902411696,466.638921122222,354.0565014,556.7048569,4,NA,NA,"overlaid",28
2000-12-16,2000-12-24,2000-12-18,2902.320473,1157.75345504448,751.31593595712,540.090620025,492.163996,683.8704921,1,NA,NA," ",9
2001-04-09,2001-04-19,2001-04-13,3022.843166,1819.39812984,746.770913136,1194.4324186,1006.295349,1476.638023,1,NA,NA," ",11
2001-06-16,2001-07-08,2001-06-24,3404.881864,2014.42917415968,1677.10403422944,164.015351027273,128.1500863,226.7795643,2,NA,NA," ",23
2001-06-16,2001-06-29,2001-06-18,2228.216279,795.10433149152,595.77583971456,143.323852146154,128.1500863,226.7795643,2,NA,NA,"first wave",14
2001-06-21,2001-07-08,2001-06-24,2971.5208577,1219.32484266816,1052.77793064624,40.0199231117647,0,226.7795643,1,NA,NA,"second wave",18
2002-10-10,2002-12-04,2002-10-17,2066.984679,3266.08595848512,2221.05461409072,174.595003925455,159.1202236,280.7077833,2,NA,NA," ",56
2002-10-10,2002-10-25,2002-10-17,2066.984679,1120.66189945632,804.33947078352,238.412233086667,159.1202236,329.0316725,2,NA,NA,"overlaid",16
2003-01-01,2003-01-07,2003-01-03,2100.540703,808.82398630656,446.50530539424,662.870575066667,590.7773081,807.057109,1,NA,NA," ",7
2003-03-20,2003-04-11,2003-03-31,3538.046514,3060.57945228192,1959.42901019616,579.3089447,432.8591383,725.7587511,2,NA,NA," ",23
2003-06-12,2003-06-20,2003-06-14,3697.222354,1188.16460913312,760.79460911904,526.896771725,435.4920388,801.1109705,1,NA,NA," ",9
2003-06-20,2003-06-27,2003-06-23,3729.804568,1446.80222793024,918.3039814224,863.449875757143,801.1109705,946.5684161,1,NA,NA," ",8
2003-09-01,2003-09-13,2003-09-05,2434.332912,1241.04274624224,969.66705983328,236.046124233333,184.6513233,338.8357261,1,NA,NA," ",13
2003-10-26,2003-11-18,2003-10-30,2266.644596,1816.37971206624,1268.47156597488,227.734607278261,202.1431058,349.2942393,1,NA,NA," ",24
2003-10-26,2003-11-10,2003-10-30,2266.644596,1310.01104182176,952.67964219696,241.383408066667,202.1431058,349.2942393,1,NA,NA,"first wave",16
2003-11-19,2003-12-05,2003-11-21,4077.008712,2263.7417717664,1632.60376628544,364.5406450125,333.8700678,579.2346855,2,NA,NA," ",17
2003-11-19,2003-12-01,2003-11-21,4077.008712,1752.4600658496,1279.10656173888,374.76417075,333.8700678,579.2346855,2,NA,NA,"first wave",13
2003-12-10,2003-12-23,2003-12-15,2387.910203,1734.87981384864,1145.7551178072,497.799020230769,408.7770695,640.2341414,1,NA,NA," ",14
2004-04-25,2004-04-30,2004-04-27,2113.129645,571.75831064736,285.65645960016,659.11533774,646.4854753,678.0601314,1,NA,NA," ",6
2004-07-12,2004-07-22,2004-07-14,4162.265833,1760.46744827232,1348.29112954752,424.44249892,389.3668819,564.744967,1,NA,NA," ",11
2004-07-23,2004-08-05,2004-07-29,2878.329855,1858.64989004928,1145.63156076576,620.883851176923,453.7728721,815.8466601,2,NA,NA," ",14
2004-07-27,2004-08-05,2004-07-29,2878.329855,1240.7607961632,923.55961471632,181.2992578,0,815.8466601,1,NA,NA,"second wave",10
2004-08-12,2004-08-21,2004-08-14,2886.594347,1384.22353329216,897.04984815216,513.229788611111,422.6061245,830.412613,1,NA,NA," ",10
2004-09-17,2004-09-26,2004-09-19,4525.228005,1599.0315813648,1247.84881226928,399.517785977778,357.8328696,545.4149933,1,NA,NA," ",10
2004-09-28,2004-10-06,2004-09-29,2807.374908,1094.86359947232,725.06215771488,486.2560330875,470.0034908,600.0238291,1,NA,NA," ",9
2004-11-28,2004-12-01,2004-11-29,2046.857649,530.22451519872,229.75256772864,1051.20465286667,835.1575738,1483.298811,1,NA,NA," ",4
2005-01-03,2005-01-21,2005-01-15,2375.10375,2074.72313130336,1316.57315744448,525.254329766667,374.2112233,600.775883,1,NA,NA," ",19
2005-03-28,2005-04-14,2005-04-04,5066.185925,3210.43205663712,2329.9782545808,578.086514741176,478.448577,720.4264258,2,NA,NA," ",18
2005-03-28,2005-04-05,2005-03-30,2063.201489,1003.24894993632,588.91774896864,538.9430392,478.448577,720.4264258,2,NA,NA,"first wave",9
