"V6.Begin","V6.End","V6.Peak_date","V6.DailyMQ","V6.Volume","V6.dir_Volume","V6.baseflow_peak","V6.baseflow_begin","V6.baseflow_end","V6.No_Peaks","V6.HQ","V6.HQ_dir","V6.Comments","V6.Duration"
1981-02-11,1981-02-17,1981-02-13,2436.217146,859.4512344,517.43255651136,639.231109766667,598.1768251,721.3396791,1,NA,NA," ",7
1982-01-03,1982-01-10,1982-01-05,2548.507084,959.50401984,550.62588692304,624.621424714286,556.0431724,796.0670555,1,NA,NA," ",8
1982-05-28,1982-06-13,1982-05-30,3988.990432,2770.55396841888,2147.72874554016,378.7965362375,354.8823553,546.1958028,1,NA,NA," ",17
1982-05-28,1982-06-09,1982-05-30,3988.990432,2033.93745167328,1566.81853451424,386.767929883333,354.8823553,546.1958028,1,NA,NA,"first wave",13
1982-06-29,1982-07-11,1982-07-04,3189.613674,1417.47596341632,1083.57663231936,316.849777541667,290.8588355,353.2370964,2,NA,NA," ",13
1982-06-29,1982-07-09,1982-07-01,2645.255886,958.41276596352,680.16332338272,303.33448768,290.8588355,353.2370964,2,NA,NA,"first wave",11
1982-07-03,1982-07-11,1982-07-04,2044.202952,459.0631974528,336.98445693696,44.15463705,0,353.2370964,1,NA,NA,"second wave",9
1983-03-27,1983-04-02,1983-03-29,2095.122088,713.33820922176,402.40409592096,575.9049543,528.1233764,671.4681101,1,NA,NA," ",7
1983-04-08,1983-04-15,1983-04-12,2631.9417,1115.15590979424,601.069509468,865.2145868,743.5825528,956.4386123,1,NA,NA," ",8
1983-04-15,1983-04-30,1983-04-17,5572.447334,4021.36171787232,2662.51706026992,980.98598186,956.4386123,1140.543884,2,NA,NA," ",16
1983-06-28,1983-07-11,1983-06-30,2358.688321,1127.54014564608,838.77513222816,214.655295892308,195.7948238,318.3878924,1,NA,NA," ",14
1983-06-28,1983-07-07,1983-06-30,2358.688321,773.53148270016,573.6172426416,223.037727933333,195.7948238,318.3878924,1,NA,NA,"first wave",10
1983-07-31,1983-08-22,1983-08-08,3645.487977,2964.2929334928,2452.12284137472,254.330304363636,214.0117724,324.8877353,1,NA,NA," ",23
1983-07-31,1983-08-17,1983-08-08,3645.487977,2018.0154744144,1622.24767595952,266.188696117647,214.0117724,324.8877353,1,NA,NA,"first wave",18
1983-08-11,1983-08-22,1983-08-14,2445.6279642,946.2774590784,791.89080726384,88.6057459909091,0,324.8877353,1,NA,NA,"second wave",12
1983-11-20,1983-12-03,1983-11-26,3419.221142,2169.98097741216,1332.03003500592,735.508752169231,609.1464448,882.9314441,2,NA,NA," ",14
1983-11-20,1983-11-26,1983-11-22,2442.007944,816.20461580256,429.45802699968,700.408111233333,609.1464448,882.9314441,1,NA,NA,"first wave",7
1983-11-24,1983-12-03,1983-11-26,2848.484817,1353.7763616096,1010.49261614352,196.206987577778,0,882.9314441,1,NA,NA,"second wave",10
1983-12-13,1983-12-19,1983-12-15,4591.930667,1550.56303679616,1029.00765227328,938.801775266667,804.2317744,1207.941777,1,NA,NA," ",7
1984-03-28,1984-04-14,1984-04-06,5379.459567,3585.43897219008,2760.85868478048,569.809836611765,418.3833586,704.4111504,1,NA,NA," ",18
1984-03-28,1984-04-07,1984-03-31,4078.724339,1767.08272076928,1282.03549288128,504.19169614,418.3833586,704.4111504,1,NA,NA,"first wave",11
1984-04-04,1984-04-14,1984-04-06,4664.6764852,1818.3562514208,1514.050634448,140.88223008,0,704.4111504,1,NA,NA,"second wave",11
1984-04-14,1984-04-23,1984-04-17,3068.402657,1608.60848152896,832.96926314784,899.789329266667,704.4111504,1290.545687,1,NA,NA," ",10
1984-05-28,1984-06-08,1984-05-31,7959.336797,2826.79181546688,2387.12827684752,423.468102309091,376.4990945,548.7187898,1,NA,NA," ",12
1984-06-30,1984-07-06,1984-07-01,3774.4738,1264.7814147216,765.5346779616,775.316607916667,681.4483525,1244.657885,1,NA,NA," ",7
1984-07-06,1984-07-10,1984-07-08,4086.709731,1055.4543422496,538.6856444064,1495.279797,1244.657885,1745.901709,1,NA,NA," ",5
1984-08-02,1984-08-11,1984-08-04,2091.024552,1053.00214180416,649.41034366512,480.925653788889,450.4482775,587.5964708,1,NA,NA," ",10
1984-08-12,1984-08-18,1984-08-14,6182.516552,1643.77708661952,1183.69207763136,839.507472866667,743.5030938,1031.516231,1,NA,NA," ",7
1985-09-27,1985-10-03,1985-09-28,4405.894526,1309.33140226272,884.25109368576,736.42709305,694.648058,945.3222683,1,NA,NA," ",7
1986-04-16,1986-04-28,1986-04-18,2183.220439,1029.52397850912,699.84809109216,281.995861483333,264.006578,371.9422789,1,NA,NA," ",13
1986-04-16,1986-04-24,1986-04-18,2183.220439,710.83026186336,491.04633691872,290.990503225,264.006578,371.9422789,1,NA,NA,"first wave",9
1986-07-28,1986-08-06,1986-07-30,3166.54338,1572.03991990656,1011.79009013184,667.546813255556,625.1955501,815.7762343,1,NA,NA," ",10
1986-08-07,1986-08-11,1986-08-09,2181.657788,655.49533328064,332.94318204096,933.3106228,805.0280476,1061.593198,1,NA,NA," ",5
1986-08-15,1986-08-28,1986-08-23,3723.801329,2280.19899132288,1609.62285044304,613.803738576923,524.3060259,669.739809,2,NA,NA," ",14
1986-11-26,1986-11-30,1986-11-27,3197.351596,875.0865560544,471.3182728992,1101.31124275,1034.311481,1302.310528,1,NA,NA," ",5
1986-12-02,1986-12-08,1986-12-04,3649.287293,1256.88268040256,761.59079212608,907.063674933333,810.3426904,1100.505644,1,NA,NA," ",7
1986-12-24,1986-12-29,1986-12-26,2112.749095,664.29247388544,346.35486086784,716.87425984,640.504512,831.4288816,1,NA,NA," ",6
1987-02-28,1987-03-08,1987-03-02,2145.079259,844.78996966176,529.88705334432,413.359635975,371.130562,540.0468579,1,NA,NA," ",9
1987-04-04,1987-04-09,1987-04-06,3125.162692,1120.62516336,558.396904464,1259.9095718,1093.730647,1509.177959,1,NA,NA," ",6
1987-07-01,1987-07-08,1987-07-04,2699.476837,917.78729628096,608.35536330912,490.3875082,362.9513176,660.302429,1,NA,NA," ",8
1987-07-13,1987-07-20,1987-07-15,2215.838544,820.91668886784,506.24770944528,491.864420728571,453.9689671,586.6030548,1,NA,NA," ",8
